174, 21, 5
156, 32, 12
134, 43, 23
107, 57, 36
92, 61, 47
83, 55, 62
87, 46, 67
84, 48, 68
93, 49, 58
88, 47, 65
91, 42, 67
89, 47, 64
81, 50, 69
79, 55, 66
73, 51, 76
70, 47, 83
87, 42, 71
89, 47, 64
97, 46, 57
104, 38, 58
100, 35, 65
107, 34, 59
114, 30, 56
116, 36, 48
107, 48, 45
84, 59, 57
84, 55, 61
77, 47, 76
81, 52, 67
85, 49, 66
85, 50, 65
93, 47, 60
89, 46, 65
92, 41, 67
94, 39, 67
96, 42, 62
95, 44, 61
97, 42, 61
97, 39, 64
100, 38, 62
103, 34, 63
102, 35, 63
98, 39, 63
94, 39, 67
103, 36, 61
109, 38, 53
108, 38, 54
99, 53, 48
87, 53, 60
85, 54, 61
75, 59, 66
73, 53, 74
82, 41, 77
91, 38, 71
101, 41, 58
89, 46, 65
88, 39, 73
95, 38, 67
106, 30, 64
112, 32, 56
107, 39, 54
97, 48, 55
93, 46, 61
99, 45, 56
94, 46, 60
90, 51, 59
86, 56, 58
75, 62, 63
72, 60, 68
71, 56, 73
67, 53, 80
80, 41, 79
84, 38, 78
83, 42, 75
94, 30, 76
111, 34, 55
115, 34, 51
114, 36, 50
111, 33, 56
123, 34, 43
109, 47, 44
95, 49, 56
84, 54, 62
84, 48, 68
84, 42, 74
86, 38, 76
89, 34, 77
93, 31, 76
104, 32, 64
108, 33, 59
111, 34, 55
112, 42, 46
107, 43, 50
103, 46, 51
102, 51, 47
88, 51, 61
89, 50, 61
94, 45, 61
88, 42, 70
92, 43, 65
