85, 12, 3, 89, 9, 2
78, 16, 6, 78, 16, 6
71, 20, 9, 63, 23, 14
64, 22, 14, 43, 35, 22
57, 24, 19, 35, 37, 28
51, 26, 23, 32, 29, 39
50, 23, 27, 37, 23, 40
47, 25, 28, 37, 23, 40
49, 22, 29, 44, 27, 29
40, 27, 33, 48, 20, 32
42, 15, 43, 49, 27, 24
44, 17, 39, 45, 30, 25
40, 23, 37, 41, 27, 32
40, 26, 34, 39, 29, 32
38, 25, 37, 35, 26, 39
36, 20, 44, 34, 27, 39
45, 19, 36, 42, 23, 35
41, 25, 34, 48, 22, 30
50, 22, 28, 47, 24, 29
50, 24, 26, 54, 14, 32
48, 18, 34, 52, 17, 31
51, 18, 31, 56, 16, 28
53, 14, 33, 61, 16, 23
53, 18, 29, 63, 18, 19
49, 26, 25, 58, 22, 20
37, 33, 30, 47, 26, 27
36, 31, 33, 48, 24, 28
38, 24, 38, 39, 23, 38
40, 22, 38, 41, 30, 29
42, 21, 37, 43, 28, 29
47, 22, 31, 38, 28, 34
48, 22, 30, 45, 25, 30
47, 19, 34, 42, 27, 31
50, 15, 35, 42, 26, 32
51, 14, 35, 43, 25, 32
48, 20, 32, 48, 22, 30
45, 24, 31, 50, 20, 30
47, 22, 31, 50, 20, 30
51, 18, 31, 46, 21, 33
51, 18, 31, 49, 20, 31
58, 16, 26, 45, 18, 37
61, 14, 25, 41, 21, 38
57, 17, 26, 41, 22, 37
58, 17, 25, 36, 22, 42
61, 16, 23, 42, 20, 38
58, 18, 24, 51, 20, 29
57, 21, 22, 51, 17, 32
49, 32, 19, 50, 21, 29
41, 30, 29, 46, 23, 31
44, 31, 25, 41, 23, 36
48, 30, 22, 27, 29, 44
41, 27, 32, 32, 26, 42
42, 25, 33, 40, 16, 44
42, 23, 35, 49, 15, 36
45, 24, 31, 56, 17, 27
39, 25, 36, 50, 21, 29
43, 20, 37, 45, 19, 36
47, 20, 33, 48, 18, 34
54, 12, 34, 52, 18, 30
57, 16, 27, 55, 16, 29
58, 16, 26, 49, 23, 28
56, 16, 28, 41, 32, 27
50, 16, 34, 43, 30, 27
58, 19, 23, 41, 26, 33
54, 22, 24, 40, 24, 36
46, 24, 30, 44, 27, 29
45, 27, 28, 41, 29, 30
40, 34, 26, 35, 28, 37
40, 32, 28, 32, 28, 40
40, 29, 31, 31, 27, 42
36, 26, 38, 31, 27, 42
39, 17, 44, 41, 24, 35
43, 14, 43, 41, 24, 35
43, 12, 45, 40, 30, 30
50, 12, 38, 44, 18, 38
56, 17, 27, 55, 17, 28
59, 17, 24, 56, 17, 27
58, 14, 28, 56, 22, 22
56, 15, 29, 55, 18, 27
62, 15, 23, 61, 19, 20
60, 19, 21, 49, 28, 23
53, 18, 29, 42, 31, 27
48, 22, 30, 36, 32, 32
50, 16, 34, 34, 32, 34
49, 20, 31, 35, 22, 43
46, 19, 35, 40, 19, 41
47, 13, 40, 42, 21, 37
55, 11, 34, 38, 20, 42
57, 14, 29, 47, 18, 35
56, 16, 28, 52, 17, 31
58, 15, 27, 53, 19, 28
61, 18, 21, 51, 24, 25
59, 17, 24, 48, 26, 26
54, 19, 27, 49, 27, 24
52, 23, 25, 50, 28, 22
44, 23, 33, 44, 28, 28
47, 25, 28, 42, 25, 33
47, 24, 29, 47, 21, 32
43, 20, 37, 45, 22, 33
48, 20, 32, 44, 23, 33
